content,score,Label
"Aplikasi gak jelas, sering bug, sering error, ribet tiap kali buka aplikasi harus log in dulu, gak jelas banget makin dipersulit, ubah faskes juga sulit, aplikasi hak bisa conect ke gmaps, daftar faskes gak muncul, gak jelas banget aplikasinya, gak bisa digunain, orang IT'nya kerja yang bener ngurus aplikisi gini doang gak bisa. Pada gak bener nihh kerjanya.",1,Negatif
"saya mau daftar antri lagi buat periksa tp selalu gabisa, selalu muncul ""antrean poli anda telah selesai dilayani"" aplikasi tidak langsung terupdate, kalau klik nama saya mesti langsung muncul itu lagi, mau daftar lagi jadi gabisa. padahal udah ngisi review yg bintang bintang",1,Negatif
"Aplikasi Rusak!! Issue critical gak fix""dari tahun lalu!!! Mau daftar aja gak bisa, kirim verifikasi OTP kg ada respon sama sekali sampe waktu tunggu abis baru datang kodenya. Pas switch dari aplikasi message/email ke app JKN langsung mulai dari awal lagi. Trus kapan selesainya ini proses pendaftaran kalo tiap pindah app langsung kembali ke dari awal lagi Mohon di perbaiki!!!",1,Negatif
"Kirain cuman sendiri yg OTPnya ga ke kirim, liat ulasan trnyata banyak yg ngalamin juga. Udh pake 3 nomor tetep aja ga bisa masuk OTP. Jaringan dah diganti ke paling kenceng juga ga bisa, hadehhh. Aplikasinya jadinya buat apa?? tambahan: Ini udh pake no yg aktif, pulsaku jg banyak yaa Adminn, masih aja ga bisa masuk OTPnya",1,Negatif
"Aplikasi jelek, sebenernya dibuat untuk memudahkan apa menyulitkan masyarakat? verifikasi wajah buat pengguna baru susah ga bisa bisa, kode otp sama sekali ga masuk, udah coba di 2 hp, ga ada kode otp yang masuk, tolong diperbaikin dong.",1,Negatif
"aplikasi jelek bukannya membantu memudahkan malah menyulitkan, verifikasi wajah gagal terus, padahal sudah pakai data, jaringan bagus,,cahaya terang.tetep gak bisa daftar dengan mudah.",1,Negatif
"sangat menyebalkan!!! dulu sudah daftar tp ga bisa masuk,skrng suruh daftar lagi dan ribet ga efisien. Minimal kalo bikin aplikasi yg memudahkan jangan yg ribet tapi kalo ga ribet bukan konoha namanya",1,Negatif
"Aplikasi macam apa iniiii,mau daftar aja susah banget,kode otp Sampek di klik 3 kali gak masuk, verifikasi wajah Sampek 4 kali gak bisa, padahal tempat terang, wifi lancar,muka udah jelas banget ada di bingkai. Tolong dong,kalo mau bikin aplikasi yg bener dikit!!!!!!,kalo ada bintang 0 dah di kasih 0 deh",1,Negatif
"Aplikasi sampah, proses pendaftaran dibuat ruwet dengan verifikasi wajah. Posisi wajah sudah bener dan sesuai intruksi tapi ada tulisan gagal (offline), wifi aman gada trouble dan lancar aja buka sosmed dll. Kalo mau serba digital diimbangi dengan SDM yang bermutu untuk aplikasinya, maintenance lebih sering biar tau apa kekurangannya. Saran orang lain diterima dan dilakukan jangan cuma iya iya aja tapi aplikasinya masih sering error gada perbaikan.",1,Negatif
"APLIKASI SAMPAH, dana buat bikin aplikasi di KORUPSI? sampe aplikasi yang harusnya memudahkan masyarakat malah mempersulit, mau daftar susah, otp ga ke kirim kirim, Verifikasi wajah mau 100 tahun pun ga akan bisa, nomor telepon berubah sendiri yang awalnya berakhiran 4096 menjadi 295, kalau gini caranya login gimana kocak, saya lupa password, mau reset tapi nomor keganti sendiri? kocak. aplikasi sampah",1,Negatif
"Kenapa eror terus jaringan nya??? Padahal wifi jalan normal gaada kendala! Terus mau coba masuk gabisa katanya belum terdaftar. Udah daftar pas verifikasi muka salah Mulu Padahal posisi udh bener. Giliran udh bner malah gabisa katanya anda offline. Udah berkali-kali download hapus apk ini,ttp aja kek gini gk berubah ubah. Mohon perbaiki lagi kalo mau serba online.",1,Negatif
"Untuk registrasi gagal terus, error setelah di refresh2 ulang. Tolong ya dibenahi kalau memang mau membantu serba digital. Supaya akses bisa dilakukan kapan saja. Minta tolong benar2 dibenahi bukan asal2an berbasis aplikasi namun masalah error gk teratasi",1,Negatif
"Tolong untuk verifikasi waktu mau daftar akun dipermudah, udah nunggu lama bgt kode OTP yg akan dikirimkan ke nomor tapi ternyata ga ada yg dikirimkan padahal nomor masih aktif. Udah di refresh sampai hapus apk lalu di download lagi juga tetep ga bisa, padahal sinyal lancar. Mau verifikasi wajah juga ga bisa. Tolong diperbaiki sistemnya🙏🏻",1,Negatif
"1. Daftar kontrol deket2 hari gabisa karena error, terus disuruh daftar jauh2 hari. 2. Surat rujukan berlaku seminggu lagi terus mau perpanjang tapi gabisa karena sistem nya ga kebuka jadi perpanjangnya harus hari-h atau setelah masa berlaku abis, padahal setelah masa berlaku abis ada jadwal kontrol. 3. Aplikasi sering error gabisa daftar online. 4. Banyak-banyak korupsinya sampe buncit",1,Negatif
Aplikasi sangat tidak membantu susah diakses. Sudah mengisi tapi kode otp gagal terus padahal untuk aplikasi lain cepat ini diluang sampai puluhan kali gagal terus. Sinyal stabil kendalan otp tidak masuk2. Padahal otp email cepat. Kalo aplikasi bukan membantu malah menyusahkan mending ubah aja ke manual. Aduan sudah banyak sekali tapi tidak ada perbaikan.. itu diulasan banyak juga kan keluhan verivikasi wajah sushanya minta ampun . . TOLONG YA PERBAIKANNYA. MASYARAKAN KECEWA,1,Negatif
"Aplikasi sama ga jelasnya sama jak sehat. Setiap kali dicoba buat daftar online ga pernah bisa, ada aja kendalanya. Sudah banyak ulasan yang kasih feedback kurang menyenangkan, belum juga ada perbaikan. Dibalas saja tidak. KALAU ADA FEEDBACK DIBACA PAK/BUK, lebih baik lagi dibenahi. Di lapangan kalau periksa disarankan online, aplikasi aja ga ada yang bisa buat daftar.",1,Negatif
"Penambahan fitur dan menu didalam aplikasi ini sudah bisa dikatakan cukup baik. Namun ada satu masalah sederhana yang sudah cukup untuk membuat aplikasi ini useless, yaitu ""Verifikasi Wajah Untuk Mendaftar Peserta Baru"". Pada saat saya ingin mendaftar dan kemudian melakukan verifikasi wajah, hasilnya adalah 0 tidak terjadi apa apa. Saya sudah berada didepan kamera lebih dari 5 menit, namun aplikasi tetap pada tampilan kamera.Teruntuk Software Developer Mobile JKN, bersungguh-sungguh lah!",1,Negatif
"Aplikasi g jelas... Mau daftar aja susah banget.. Verifikasi muka g bisa2.. Pdhl gambar udah jelas, masuk dlm bingkai, senyum, kedip, geleng kanan/kiri, tp ttep aja g bisa.. Tolong diperbaiki, soalnya skrg kl mau kontrol ke RS hrs pake mobile jkn.. Hedeuh...",1,Negatif
"apk sangat susah untuk konfirmasi SMS tidak ada notif di kirim berkali-kali coba tetap tidak bisa, cari di Google cara dan sebabnya udah di coba sampai aku instal ulang tetep aja ngga bisa, apk bukan memudahkan tambah menyulitkan",1,Negatif
"Aplikasi sampah gak guna dan gak bermutu sama sekali, bukan mempermudah malah mempersusah, verifikasi wajah beberapa kali gagal, 100 kali baru bisa daftar kemudian nomor HP yg di daftar sudah juga benar tapi kode otp kita tunggu gak masuk-masuk sampai detiknya habis pun gak terkirim sama sekali masuk ke nomor HP sampai dua kali ganti nomor 😡🤬😤 ini maksud dari aplikasi ini apaan kalau gak bisa digunakan untuk masyarakat mending hapus aja bukan terlayani malah mempersulit😡😡😡",1,Negatif
